0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,1,2,3,4,5,6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00,0.00,0.00,-509.33,"2,520.13","2,010.80",02-Apr-2007
0.00,0.00,0.00,-6.01,"2,185.40","2,179.39",03-Apr-2007
0.00,0.00,0.00,-45.05,"2,171.17","2,126.12",04-Apr-2007
0.00,0.00,0.00,-85.80,"1,717.96","1,632.16",05-Apr-2007
0.00,0.00,0.00,493.36,930.39,"1,423.75",09-Apr-2007
0.00,0.00,0.00,349.65,"1,883.30","2,232.95",10-Apr-2007
0.00,0.00,0.00,-69.96,"2,156.46","2,086.50",11-Apr-2007
0.00,0.00,0.00,-173.58,"1,832.35","1,658.77",12-Apr-2007
0.00,0.00,0.00,238.50,"2,424.06","2,662.56",13-Apr-2007
17.79,763.98,781.77,307.75,"2,016.21","2,323.96",16-Apr-2007
-310.19,"1,039.74",729.55,304.66,"2,146.09","2,450.75",17-Apr-2007
19.44,868.38,887.82,465.32,"1,708.56","2,173.88",18-Apr-2007
273.76,537.14,810.90,-229.13,"2,030.66","1,801.53",19-Apr-2007
129.87,777.60,907.47,622.51,"1,811.72","2,434.23",20-Apr-2007
257.72,514.05,771.77,-142.49,"2,019.97","1,877.48",23-Apr-2007
184.29,"1,129.38","1,313.67",340.39,"2,917.92","3,258.31",24-Apr-2007
86.39,973.73,"1,060.12",781.25,"2,757.60","3,538.85",25-Apr-2007
-178.03,"1,374.63","1,196.60",-89.04,"2,905.29","2,816.25",26-Apr-2007
175.97,617.23,793.20,-377.95,"2,006.85","1,628.90",27-Apr-2007
200.65,684.21,884.86,-440.51,"1,770.96","1,330.45",30-Apr-2007
186.40,583.59,769.99,69.70,"2,742.09","2,811.79",03-May-2007
299.10,396.89,695.99,-131.32,"1,999.27","1,867.95",04-May-2007
74.57,"1,571.12","1,645.69",143.58,756.53,900.11,07-May-2007
-124.54,"1,089.29",964.75,-205.41,"1,833.98","1,628.57",08-May-2007
-113.11,892.14,779.03,-300.02,"1,985.81","1,685.79",09-May-2007
386.44,531.67,918.11,153.27,"1,848.09","2,001.36",10-May-2007
440.05,485.77,925.82,-514.26,"2,182.09","1,667.83",11-May-2007
1.79,767.24,769.03,-85.32,"1,830.34","1,745.02",14-May-2007
-59.90,860.09,800.19,-283.63,"2,215.52","1,931.89",15-May-2007
403.49,957.43,"1,360.92",-245.15,"2,633.42","2,388.27",16-May-2007
634.66,991.84,"1,626.50",517.75,"2,985.63","3,503.38",17-May-2007
58.05,740.93,798.98,56.64,"2,182.16","2,238.80",18-May-2007
257.93,"1,072.39","1,330.32",182.66,"2,189.29","2,371.95",21-May-2007
-127.82,"1,324.61","1,196.79",340.56,"2,754.54","3,095.10",22-May-2007
87.94,946.84,"1,034.78",96.58,"2,399.44","2,496.02",23-May-2007
-136.30,"1,025.59",889.29,-160.31,"2,037.71","1,877.40",24-May-2007
171.49,665.47,836.96,-204.25,"2,702.79","2,498.54",25-May-2007
46.94,"1,002.83","1,077.57",180.65,"1,615.05","1,795.70",28-May-2007
-124.14,972.38,848.24,697.96,"1,474.75","2,172.71",29-May-2007
561.87,787.98,"1,349.85",-598.51,"2,949.38","2,350.87",30-May-2007
32.19,"1,308.34","1,340.53",168.86,"3,118.37","3,287.23",31-May-2007
319.84,802.17,"1,122.01",373.38,"2,108.61","2,481.99",01-Jun-2007
-28.94,817.34,788.40,88.79,"1,784.93","1,873.72",04-Jun-2007
47.79,739.05,786.84,-148.30,"2,114.14","1,965.84",05-Jun-2007
355.44,771.20,"1,126.64",-230.97,"2,457.77","2,226.80",06-Jun-2007
283.81,753.41,"1,037.22",-287.17,"1,699.82","1,412.65",07-Jun-2007
739.00,595.84,"1,334.84",-974.78,"3,566.12","2,591.34",08-Jun-2007
237.12,583.87,820.99,-26.12,"2,158.67","2,132.55",11-Jun-2007
-80.86,783.35,702.49,335.30,"1,681.86","2,017.16",12-Jun-2007
331.48,531.73,863.21,-294.16,"2,000.86","1,706.70",13-Jun-2007
32.57,494.83,527.40,34.13,"2,576.25","2,610.38",14-Jun-2007
363.86,501.72,865.58,-44.78,"1,992.47","1,947.69",15-Jun-2007
370.00,408.67,778.67,-88.36,"1,659.41","1,571.05",18-Jun-2007
-32.98,802.11,769.13,171.71,"1,890.10","2,061.81",19-Jun-2007
104.13,790.13,894.26,242.29,"2,301.62","2,543.91",20-Jun-2007
147.71,857.48,"1,005.19",144.49,"2,183.56","2,328.05",21-Jun-2007
512.30,802.42,"1,314.72",-28.23,"2,263.41","2,235.18",22-Jun-2007
179.23,558.34,737.57,19.84,"2,652.18","2,672.02",25-Jun-2007
199.49,686.11,885.60,-241.46,"2,054.45","1,812.99",26-Jun-2007
244.10,504.65,748.75,-567.33,"2,626.72","2,059.39",27-Jun-2007
73.51,"1,071.78","1,145.29",-398.11,"3,166.34","2,768.23",28-Jun-2007
161.66,958.20,"1,119.86",558.59,"2,095.83","2,654.42",29-Jun-2007
-86.71,874.79,788.08,94.57,"1,651.77","1,746.34",02-Jul-2007
-170.74,"1,013.01",842.27,445.41,"1,967.68","2,413.09",03-Jul-2007
-397.14,"1,279.73",882.59,723.85,"1,417.03","2,140.88",04-Jul-2007
305.43,"1,042.94","1,348.37",148.99,"3,024.63","3,173.62",05-Jul-2007
16.39,"1,148.08","1,164.47",541.39,"2,302.24","2,843.63",06-Jul-2007
-236.85,983.74,746.89,841.64,"1,916.80","2,758.44",09-Jul-2007
-206.70,980.55,773.85,583.02,"2,418.66","3,001.68",10-Jul-2007
-315.38,"1,252.94",937.56,99.34,"2,732.06","2,831.40",11-Jul-2007
28.86,"1,041.10","1,069.96",614.08,"2,919.83","3,533.91",12-Jul-2007
174.37,"1,391.96","1,566.33","1,323.52","3,146.59","4,470.11",13-Jul-2007
-408.53,"1,234.90",826.37,306.53,"2,702.19","3,008.72",16-Jul-2007
-164.93,"1,265.45","1,100.52",359.06,"3,028.36","3,387.42",17-Jul-2007
-57.49,937.71,880.22,198.31,"2,910.84","3,109.15",18-Jul-2007
-149.01,"1,141.08",992.07,652.08,"2,797.43","3,449.51",19-Jul-2007
-344.48,"1,191.26",846.78,"1,155.93","2,840.56","3,996.49",20-Jul-2007
-198.95,953.47,754.52,"1,025.57","2,698.41","3,723.98",23-Jul-2007
-310.60,"1,208.47",897.87,"1,070.71","3,100.67","4,171.38",24-Jul-2007
149.82,"1,048.42","1,198.24",-35.47,"3,141.69","3,106.22",25-Jul-2007
-144.27,"1,414.29","1,270.02",278.04,"4,179.31","4,457.35",26-Jul-2007
727.32,"1,243.53","1,970.85","-1,475.00","5,025.83","3,550.83",27-Jul-2007
854.32,852.55,"1,706.87","-1,117.35","3,020.45","1,903.10",30-Jul-2007
347.85,731.26,"1,079.11",34.63,"2,945.53","2,980.16",31-Jul-2007
935.44,963.16,"1,898.60","-1,255.54","4,876.36","3,620.82",01-Aug-2007
282.57,773.19,"1,055.76",-537.97,"2,381.16","1,843.19",02-Aug-2007
59.09,746.22,805.31,-142.70,"2,353.30","2,210.60",03-Aug-2007
500.69,479.46,980.15,"-1,395.00","3,033.28","1,638.28",06-Aug-2007
116.04,609.58,725.62,-325.68,"2,521.32","2,195.64",07-Aug-2007
216.43,803.82,"1,020.25",86.96,"2,918.19","3,005.15",08-Aug-2007
72.14,999.58,"1,071.72",27.23,"2,456.63","2,483.86",09-Aug-2007
-15.64,"1,005.45",989.81,-742.30,"3,490.86","2,748.56",10-Aug-2007
137.76,583.05,720.81,-559.58,"2,153.42","1,593.84",13-Aug-2007
308.94,456.75,765.69,-331.52,"1,796.44","1,464.92",14-Aug-2007
"1,398.90",757.18,"2,156.08","-3,108.45","5,513.36","2,404.91",16-Aug-2007
"1,944.48",733.05,"2,677.53","-3,535.76","6,080.24","2,544.48",17-Aug-2007
142.03,544.23,686.26,-648.93,"2,733.86","2,084.93",20-Aug-2007
826.84,586.59,"1,413.43",-138.24,"2,373.27","2,235.03",21-Aug-2007
547.29,568.61,"1,115.90",-636.19,"2,547.97","1,911.78",22-Aug-2007
530.72,737.84,"1,268.56",274.64,"2,980.31","3,254.95",23-Aug-2007
400.71,689.45,"1,090.16",-274.69,"1,679.41","1,404.72",24-Aug-2007
